species,num,location
Virola multiflora,15,p6
Virola sebifera,39,p6
Virola surinamensis,1,p6
Vismia baccifera,6,p6
Vismia billbergiana,1,p6
Vochysia ferruginea,19,p6
Xylopia frutescens,4,p6
Xylopia macrantha,1,p6
Zanthoxylum acuminatum,1,p6
Zuelania guidonia,1,p6
